texto;categoria;origem;data_criacao;status;prioridade;cliente_id
NAO CONSIGO o pedido ficou parado em trânsito e não chegou a sessão desconecta e fica intermitente foi rápido e ajudou bastante por favor, verifiquem se houve extravio ou atraso PEDIDO_[GYX];logistica;telefone;2025-01-01 14:31:18;fechado;alta;9000
Olá preciso saber formas de pagamento e como gerar comprovante está cansativo e ninguém dá solução preciso de confirmação do status e do andamento qual é o prazo e como faço o passo a passo;informacoes;telefone;2025-01-01 14:50:17;fechado;alta;2934
faz dias podem passar um passo a passo do cadastro e requisitos estou preocupado porque não resolveu quero orientação pra seguir o procedimento certo podem me dar informação e orientação;informacoes;chat;2025-01-01 15:16:07;fechado;media;8066
URGENTE o estorno não apareceu e eu queria reembolso podem verificar a fatura e ajustar a cobrança fico no aguardo estou bem irritado porque já tentei outras vezes;financeiro;telefone;2025-01-01 15:59:36;fechado;alta;2934
PRECISO DE AJUDA está cansativo e ninguém dá solução já falei com o atendimento e ficou sem retorno o status está pendente e não consigo saber o recebimento PEDIDO_[FVJ];logistica;telefone;2025-01-01 16:29:16;fechado;alta;6106
ABSURDO já tentei contato antes e não resolveu a fatura parece com duplicidade e o valor não bate estou bem irritado porque já tentei outras vezes desde a semana passada;financeiro;telefone;2025-01-01 16:37:48;fechado;alta;6106
NAO CONSIGO isso está revoltante, sempre fica pendente falei no chat antes e fiquei sem retorno, então envio este email não gostei do atendimento, achei inaceitável a demora preciso de um retorno claro sobre esse processo;feedback;email;2025-01-01 16:46:13;fechado;alta;5704
o pacote veio avariado e a embalagem parecia violada por favor, verifiquem se houve extravio ou atraso agradeço o atendimento;logistica;email;2025-01-01 17:11:29;fechado;baixa;1060
NAO CONSIGO Boa tarde desde a semana passada o envio ficou na separação e não anda agradeço o atendimento podem verificar o rastreamento e atualizar o status obrigado pela atenção qual é o prazo e como faço o passo a passo;logistica;chat;2025-01-01 17:45:49;fechado;alta;4958
no fim de semana eu chamei de renovação, mas parece que é cobrança mesmo preciso de estorno ou reembolso o quanto antes isso está me atrapalhando o boleto não compensou e a cobrança continua pendente PROTO_[BMK];financeiro;email;2025-01-01 17:54:03;fechado;media;6006
Bom dia estou preocupado porque não resolveu podem verificar o desconto e o cupom do meu plano fico no aguardo de retorno preciso de mudança de plano, talvez upgrade ou downgrade;assinatura;chat;2025-01-01 19:09:04;fechado;media;6006
URGENTE podem checar se é bug e como contornar a tela em branco aparece e não carrega agradeço o atendimento obrigado, já normalizou e pode encerrar;suporte;telefone;2025-01-01 20:47:14;fechado;alta;8066
PRECISO DE AJUDA o sistema fica lento e às vezes dá crash Oi já liguei e não ficou claro, tô chamando no chat ja tentei atualizei o app, refiz a senha e tentei de novo, reiniciei o aparelho isso esta revoltante, sempre fica pendente inclusive fiquei perdido com o procedimento;suporte;chat;2025-01-01 20:52:37;fechado;alta;6778
ABSURDO o status do plano expirou e não consigo reativar Boa tarde falei no chat antes e fiquei sem retorno, então envio este email está cansativo e ninguém dá solução podem orientar o cancelamento e o status do plano desde já agradeço;assinatura;email;2025-01-02 03:04:52;fechado;alta;8066
NAO CONSIGO já tentei pelo chat e não resolveu, por isso liguei teve tentativa de entrega mas não chegou no endereço estou bem irritado porque já tentei outras vezes podem orientar devolução, troca e coleta do pacote PEDIDO_[EEN];logistica;telefone;2025-01-02 08:02:51;fechado;alta;6778
PRECISO DE AJUDA já tentei no chat e também por telefone, mas não resolveu agora pouco o item faltando deixou o pedido incompleto agradeço o atendimento podem orientar devolução, troca e coleta do pacote aguardo retorno podem me dar informação e orientação;logistica;email;2025-01-02 08:19:46;fechado;alta;9000
Boa noite já chamei no chat e mandei email, mas sigo sem retorno a migração de plano ficou confusa e não entendi os benefícios já faz semanas e ninguém resolve quero confirmar a renovação e a mensalidade correta;assinatura;telefone;2025-01-02 09:21:43;aberto;baixa;6006
já tentei contato antes e não resolveu o boleto não compensou e a cobrança continua pendente foi rápido e ajudou bastante já tentei atualizei o app, saí e entrei na minha conta hoje mais cedo;financeiro;telefone;2025-01-02 09:29:40;fechado;alta;8066
URGENTE o boleto não compensou e a cobrança continua pendente estou bem irritado porque já tentei outras vezes por favor, façam uma reanálise da contestação obrigado pela atenção PROTO_[BFC];financeiro;telefone;2025-01-02 09:29:56;fechado;alta;8201
PRECISO DE AJUDA no fim de semana a tela em branco aparece e não carrega preciso de previsão de entrega e confirmação de recebimento estou bem irritado porque já tentei outras vezes o pedido ficou parado em trânsito e não chegou PEDIDO_[FRY];logistica;telefone;2025-01-02 10:29:27;fechado;alta;4955
quero entender o horário de atendimento e o procedimento no começo do mês minha mensalidade foi cobrada em duplicidade e isso me atrapalha já tentei tentei outro navegador, limpei cache e cookies já tentei contato e ficou sem retorno parece que cada hora muda uma coisa fico no aguardo de retorno;assinatura;telefone;2025-01-02 10:46:14;fechado;media;2656
o processo é burocrático e falta transparência no retorno por favor, registrem a reclamação e me orientem valeu, podem fechar por favor obrigado pela ajuda;feedback;telefone;2025-01-02 12:28:55;fechado;media;6078
Olá desde a semana passada o status do plano expirou e não consigo reativar tenho dúvida sobre limite e restrição nas condições estou preocupado porque não resolveu podem orientar o cancelamento e o status do plano obrigado, já normalizou e pode encerrar podem me dar informação e orientação;assinatura;telefone;2025-01-02 12:48:34;fechado;baixa;6078
Olá o pacote veio avariado e a embalagem parecia violada preciso de uma orientação pra seguir eu só queria que fosse mais simples preciso de previsão de entrega e confirmação de recebimento obrigado pela atenção PEDIDO_[YMP];logistica;email;2025-01-02 12:53:01;fechado;media;4577
URGENTE ja tentei tentei outro navegador, reiniciei o aparelho no começo do mês o envio ficou na separação e não anda agradeço o atendimento quero reagendamento da tentativa de entrega PEDIDO_[MXB];logistica;chat;2025-01-02 13:25:03;fechado;alta;3324
PRECISO DE AJUDA hoje mais cedo quero cancelar minha assinatura e entender a multa foi rápido e ajudou bastante já fiz: • saí e entrei na minha conta • tentei de novo mais tarde desde já agradeço estou decepcionado e quero uma revisão do caso;feedback;telefone;2025-01-02 14:37:40;fechado;alta;8755
Oi estou bem irritado porque já tentei outras vezes podem revisar o processamento e dizer se foi aprovado fico no aguardo de retorno a fatura parece com duplicidade e o valor não bate;financeiro;telefone;2025-01-02 14:38:01;fechado;alta;2656
PRECISO DE AJUDA quero troca ou devolução porque veio danificado por favor, verifiquem se houve extravio ou atraso foi rápido e ajudou bastante;logistica;telefone;2025-01-02 14:40:08;fechado;alta;6078
Boa noite não consigo acessar o login e aparece mensagem de erro isso está bem frustrante preciso que a funcionalidade volte a funcionar agradeço, ficou resolvido aqui;suporte;email;2025-01-02 15:07:35;fechado;media;4577
já pedi ajuda antes e continua igual quero entender o horário de atendimento e o procedimento parece que cada hora muda uma coisa foi rápido e ajudou bastante podem me orientar com um passo a passo bem claro faz dias desde já agradeço;informacoes;telefone;2025-01-02 15:16:51;fechado;alta;5820
o navegador trava e parece problema de cookies e cache quero resolver o quanto antes podem checar se é bug e como contornar fico no aguardo de retorno;suporte;telefone;2025-01-02 15:40:36;fechado;media;6522
já mandei email e não resolveu, tô tentando por aqui está cansativo e ninguém dá solução inclusive fiquei perdido com o procedimento o cartão não aprovou e eu preciso de orientação preciso de orientação sobre reembolso e cartão;financeiro;chat;2025-01-02 15:52:30;fechado;media;4955
agora pouco quero resolver o quanto antes podem me orientar com um passo a passo bem claro eu só queria q fosse mais simples qual a documentação e confirmação necessária no cadastro;informacoes;chat;2025-01-02 16:03:09;fechado;media;6312
preciso saber formas de pagamento e como gerar comprovante no fim de semana a sincronização não funciona e o upload falha agradeço o atendimento podem verificar essa falha e orientar a correção fico no aguardo;suporte;telefone;2025-01-02 16:04:14;fechado;media;6633
NAO CONSIGO hoje mais cedo está cansativo e ninguém dá solução quero reanálise do atendimento e mais transparência o processo é burocrático e falta transparência no retorno;feedback;chat;2025-01-02 16:22:51;fechado;alta;8201
ja tentei reiniciei o aparelho, tentei de novo mais tarde faz dias o status está pendente e não consigo saber o recebimento estou bem irritado porque já tentei outras vezes preciso de atualização do envio e da separação obrigado pela atenção PEDIDO_[SAM];logistica;chat;2025-01-02 16:48:49;fechado;media;5704
já tentei no chat e também por telefone, mas não resolveu quero informação de como funciona o procedimento de devolução já tentei contato e ficou sem retorno quero orientação pra seguir o procedimento certo valeu, podem fechar por favor desde ontem;informacoes;email;2025-01-02 17:02:08;fechado;media;5670
hoje mais cedo já tentei limpei cache e cookies, refiz a senha e tentei de novo, atualizei o app foi rápido e ajudou bastante podem orientar como limpar cache e ajustar o navegador o navegador trava e parece problema de cookies e cache;suporte;telefone;2025-01-02 17:37:49;fechado;alta;5367
falei no chat antes e fiquei sem retorno, então envio este email já tentei limpei cache e cookies, saí e entrei na minha conta está cansativo e ninguém dá solução por favor, registrem a reclamação e me orientem fico no aguardo estou decepcionado e quero uma revisão do caso;feedback;email;2025-01-02 17:43:22;fechado;media;6633
agora pouco eu não reconheço a cobrança e preciso de contestação eu chamei de renovação, mas parece que é cobrança mesmo estou bem irritado porque já tentei outras vezes podem revisar o processamento e dizer se foi aprovado aguardo retorno;financeiro;chat;2025-01-02 18:42:36;fechado;alta;2656
ABSURDO já tentei contato antes e não resolveu tenho dúvida sobre limite e restrição nas condições isso está revoltante, sempre fica pendente hoje mais cedo;informacoes;chat;2025-01-02 19:57:42;fechado;alta;9000
PRECISO DE AJUDA Bom dia isso está revoltante, sempre fica pendente preciso de nota fiscal e comprovante para concluir eu não reconheço a cobrança e preciso de contestação;financeiro;email;2025-01-02 22:20:16;fechado;alta;9621
NAO CONSIGO desde a semana passada o cupom de desconto não aplicou na mensalidade ja tentei atualizei o app, saí e entrei na minha conta, reiniciei o aparelho estou preocupado porque não resolveu podem verificar o desconto e o cupom do meu plano valeu, podem fechar por favor qual é o prazo e como faço o passo a passo;assinatura;chat;2025-01-02 22:44:23;fechado;alta;3601
NAO CONSIGO ja tentei tentei de novo mais tarde, saí e entrei na minha conta o download não completa e aparece erro de compatibilidade foi frustrante porque não resolveu e ficou demorado preciso de retorno rápido, por favor quero um passo a passo pra resolver o erro fico no aguardo;suporte;chat;2025-01-02 22:49:19;fechado;alta;4690
Olá agora pouco o processo é burocrático e falta transparência no retorno já tentei tentei de novo mais tarde, tentei outro navegador, saí e entrei na minha conta já tentei contato e ficou sem retorno já chamei no chat e mandei email, mas sigo sem retorno quero reanálise do atendimento e mais transparência;feedback;telefone;2025-01-03 08:40:41;fechado;media;9357
preciso de uma orientação pra seguir faz dias o envio ficou na separação e não anda podem orientar devolução, troca e coleta do pacote;logistica;chat;2025-01-03 08:47:15;fechado;media;5249
NAO CONSIGO já tentei pelo chat e não resolveu, por isso liguei depois da atualização o botão de salvar parou eu só queria que fosse mais simples isso está revoltante, sempre fica pendente podem checar se é bug e como contornar no começo do mês, estou ligando pra tentar resolver;suporte;telefone;2025-01-03 09:21:17;fechado;alta;5820
a renovação automática cobrou e eu queria pausa obrigado pela ajuda;assinatura;telefone;2025-01-03 09:33:17;fechado;media;4308
falei no chat antes e fiquei sem retorno, então envio este email no começo do mês o status está pendente e não consigo saber o recebimento agradeço o atendimento podem orientar devolução, troca e coleta do pacote qual é o prazo e como faço o passo a passo PEDIDO_[KHJ];logistica;email;2025-01-03 09:36:19;fechado;media;6576
URGENTE já chamei no chat e mandei email, mas sigo sem retorno no começo do mês veio juros e multa e eu não entendi o motivo preciso de reanálise, a experiência foi péssima isso está bem frustrante podem verificar a fatura e ajustar a cobrança qual é o prazo e como faço o passo a passo FATURA_[EOF];financeiro;telefone;2025-01-03 09:46:20;fechado;alta;7146
Boa noite, agradeço o cupom de desconto não aplicou na mensalidade preciso de orientação sobre regras e condições de troca agradeço o atendimento por favor, expliquem as condições de fidelidade e pausa desde ontem fico no aguardo de retorno PROTO_[HJJ];assinatura;email;2025-01-03 09:53:13;fechado;alta;7146
teve tentativa de entrega mas não chegou no endereço está cansativo e ninguém dá solução já tentei tentei outro navegador, reiniciei o aparelho, tentei de novo mais tarde;logistica;telefone;2025-01-03 10:11:13;fechado;alta;8478
já pedi ajuda antes e continua igual desde a semana passada quero informação de como funciona o procedimento de devolução estou bem irritado porque já tentei outras vezes podem confirmar a política e as regras aplicáveis obrigado, já normalizou e pode encerrar podem me dar informação e orientação;informacoes;chat;2025-01-03 11:03:55;fechado;alta;8708
PRECISO DE AJUDA hoje mais cedo está cansativo e ninguém dá solução por favor, façam uma reanálise da contestação obrigado, já normalizou e pode encerrar o comprovante não aparece e o pagamento fica travado;financeiro;email;2025-01-03 11:47:35;fechado;alta;8066
eu não reconheço a cobrança e preciso de contestação preciso de estorno ou reembolso o quanto antes isso está revoltante, sempre fica pendente PROTO_[LAJ];financeiro;telefone;2025-01-03 12:43:18;fechado;media;6006
já chamei no chat e mandei email, mas sigo sem retorno eu chamei de cobrança, mas acho que é renovação automática fico no aguardo de retorno estou bem irritado porque já tentei outras vezes houve reajuste e eu queria orientação sobre o plano;assinatura;telefone;2025-01-03 13:21:26;fechado;media;8408
PRECISO DE AJUDA agora pouco estou bem irritado porque já tentei outras vezes obrigado, já normalizou e pode encerrar preciso de orientação sobre regras e condições de troca;informacoes;telefone;2025-01-03 14:18:05;fechado;alta;5938
NAO CONSIGO o cupom de desconto não aplicou na mensalidade já chamei no chat e mandei email, mas sigo sem retorno desde a semana passada meu saldo e limite parecem errados depois da cobrança já tentei tentei outro navegador, saí e entrei na minha conta agradeço o atendimento;assinatura;telefone;2025-01-03 14:31:02;fechado;alta;9000
já mandei email e não resolveu, tô tentando por aqui ja tentei tentei outro navegador, reiniciei o aparelho, limpei cache e cookies estou bem irritado porque já tentei outras vezes preciso de atualização do envio e da separação desde já agradeço o rastreamento não atualiza e a previsão só muda;logistica;chat;2025-01-03 14:33:29;fechado;media;6522
já pedi ajuda antes e continua igual desde ontem, estou ligando pra tentar resolver estou decepcionado e quero uma revisão do caso isso está revoltante, sempre fica pendente agradeço se puderem revisar a comunicação do suporte;feedback;telefone;2025-01-03 14:52:27;fechado;media;2656
faz dias estou insatisfeito com o atendimento, sem retorno e muita demora podem orientar devolução, troca e coleta do pacote isso está revoltante, sempre fica pendente fico no aguardo de retorno o envio ficou na separação e não anda;logistica;telefone;2025-01-03 15:47:16;fechado;baixa;5454
faz dias o pedido ficou parado em trânsito e não chegou estou bem irritado porque já tentei outras vezes inclusive fiquei perdido com o procedimento podem verificar o rastreamento e atualizar o status obrigado pela atenção;logistica;telefone;2025-01-03 16:05:19;fechado;alta;2656
já tentei pelo chat e não resolveu, por isso liguei obrigado pela ajuda quero um passo a passo pra resolver o erro o navegador trava e parece problema de cookies e cache;suporte;telefone;2025-01-03 16:24:10;fechado;media;8755
Oi ja tentei atualizei o app, tentei outro navegador, refiz a senha e tentei de novo por favor, expliquem as condições de fidelidade e pausa agradeço o atendimento desde já agradeço o período de teste acabou e eu não vi a gratuidade PROTO_[HEM];assinatura;chat;2025-01-03 16:25:03;fechado;baixa;3940
Boa tarde agradeço o atendimento preciso de nota fiscal e comprovante para concluir a fatura parece com duplicidade e o valor não bate PROTO_[ROK];financeiro;telefone;2025-01-03 16:33:44;fechado;media;6819
URGENTE já mandei email e não resolveu, tô tentando por aqui a cobrança ficou pendente e o pagamento não confirma inclusive fiquei perdido com o procedimento agradeço o atendimento preciso de estorno ou reembolso o quanto antes no começo do mês obrigado pela atenção;financeiro;chat;2025-01-03 17:18:33;fechado;alta;8201
já chamei no chat e mandei email, mas sigo sem retorno foi rápido e ajudou bastante obrigado pela atenção por favor, façam uma reanálise da contestação o estorno não apareceu e eu queria reembolso;financeiro;telefone;2025-01-03 17:28:36;fechado;baixa;8201
Boa noite está cansativo e ninguém dá solução preciso de um retorno claro sobre esse processo quero registrar reclamação sobre qualidade e comunicação;feedback;email;2025-01-03 17:58:21;fechado;alta;7735
já mandei email e não resolveu, tô tentando por aqui desde a semana passada preciso saber formas de pagamento e como gerar comprovante está cansativo e ninguém dá solução podem informar como funciona e quais dados preciso enviar fico no aguardo de retorno;informacoes;chat;2025-01-03 18:03:35;fechado;alta;6819
Olá quero entender o horário de atendimento e o procedimento estou bem irritado porque já tentei outras vezes podem me orientar com um passo a passo bem claro já tentei no chat e também por telefone, mas não resolveu;informacoes;email;2025-01-03 18:59:24;fechado;media;1714
desde a semana passada ja tentei tentei outro navegador, atualizei o app, reiniciei o aparelho quero um passo a passo pra resolver o erro agradeço o atendimento desde já agradeço a sincronização não funciona e o upload falha;suporte;chat;2025-01-03 20:34:34;fechado;media;9621
não gostei do atendimento, achei inaceitável a demora isso está revoltante, sempre fica pendente podem dar prioridade e melhorar o retorno ja tentei refiz a senha e tentei de novo, atualizei o app, limpei cache e cookies;feedback;chat;2025-01-03 22:05:02;fechado;alta;8755
já mandei email e não resolveu, tô tentando por aqui desde ontem o item faltando deixou o pedido incompleto estou bem irritado porque já tentei outras vezes;logistica;chat;2025-01-03 22:16:32;fechado;baixa;4577
URGENTE o sistema fica lento e às vezes dá crash podem orientar como limpar cache e ajustar o navegador isso está revoltante, sempre fica pendente;suporte;email;2025-01-03 22:27:29;fechado;alta;5820
NAO CONSIGO Bom dia hoje mais cedo estou insatisfeito com o atendimento, sem retorno e muita demora estou bem irritado porque já tentei outras vezes preciso de um retorno claro sobre esse processo;feedback;email;2025-01-04 04:01:40;fechado;alta;3940
PRECISO DE AJUDA já tentei pelo chat e não resolveu, por isso liguei está cansativo e ninguém dá solução aguardo retorno a migração de plano ficou confusa e não entendi os benefícios;assinatura;telefone;2025-01-04 09:23:20;fechado;alta;6819
já chamei no chat e mandei email, mas sigo sem retorno agora pouco meu saldo e limite parecem errados depois da cobrança isso está revoltante, sempre fica pendente;financeiro;telefone;2025-01-04 09:27:59;fechado;alta;1520
NAO CONSIGO já tentei pelo chat e não resolveu, por isso liguei quero cancelar minha assinatura e entender a multa eu chamei de cobrança, mas acho que é renovação automática está cansativo e ninguém dá solução como funciona isso e qual o procedimento;assinatura;telefone;2025-01-04 10:35:12;fechado;alta;5984
veio juros e multa e eu não entendi o motivo já tentei pelo chat e não resolveu, por isso liguei no começo do mês está cansativo e ninguém dá solução quero orientacao sobre pagamento e compensação obrigado, ja normalizou e pode encerrar;financeiro;telefone;2025-01-04 10:57:20;fechado;alta;5454
já chamei no chat e mandei email, mas sigo sem retorno o app está instável e fica travando obrigado pela ajuda preciso de previsão de entrega e confirmação de recebimento o item faltando deixou o pedido incompleto;logistica;telefone;2025-01-04 14:53:41;fechado;alta;9357
faz dias isso está revoltante, sempre fica pendente por favor, verifiquem se houve extravio ou atraso teve tentativa de entrega mas não chegou no endereço;logistica;chat;2025-01-04 15:00:50;fechado;baixa;1520
preciso de reagendamento porque o prazo já passou estou preocupado porque não resolveu podem verificar o rastreamento e atualizar o status preciso de reanálise, a experiência foi péssima;logistica;email;2025-01-04 15:03:25;fechado;baixa;7955
Boa noite no fim de semana não gostei do atendimento, achei inaceitável a demora foi rápido e ajudou bastante podem dar prioridade e melhorar o retorno fico no aguardo;feedback;chat;2025-01-04 15:14:59;fechado;alta;6576
Oi quero um registro formal, porque ficou revoltante pra mim quero apenas entender e resolver podem verificar essa falha e orientar a correção o app está instável e fica travando;suporte;email;2025-01-04 15:42:53;fechado;baixa;6644
Olá já liguei e não ficou claro, tô chamando no chat no fim de semana a migração de plano ficou confusa e não entendi os benefícios está cansativo e ninguém dá solução;assinatura;chat;2025-01-04 16:20:55;fechado;alta;6312
no começo do mês o cartão não aprovou e eu preciso de orientação agradeço o atendimento preciso de nota fiscal e comprovante para concluir obrigado podem me dar informação e orientação FATURA_[KGE];financeiro;email;2025-01-04 18:22:55;fechado;media;5096
já tentei pelo chat e não resolveu, por isso liguei isso está revoltante, sempre fica pendente valeu, podem fechar por favor podem orientar como limpar cache e ajustar o navegador o sistema fica lento e às vezes dá crash;suporte;telefone;2025-01-04 19:11:04;fechado;media;3131
URGENTE o download não completa e aparece erro de compatibilidade agradeço o atendimento;suporte;telefone;2025-01-04 19:32:24;fechado;alta;2481
URGENTE quero confirmar a renovação e a mensalidade correta quero cancelar minha assinatura e entender a multa estou bem irritado porque já tentei outras vezes;assinatura;telefone;2025-01-04 20:22:27;fechado;alta;7114
obrigado pela ajuda Oi o sistema fica lento e às vezes dá crash podem verificar essa falha e orientar a correção;suporte;chat;2025-01-04 21:02:15;fechado;media;4697
o pedido ficou parado em trânsito e não chegou isso está revoltante, sempre fica pendente preciso de previsão de entrega e confirmação de recebimento quero informação de como funciona o procedimento de devolução PEDIDO_[EKW];logistica;chat;2025-01-04 22:14:22;fechado;alta;9379
falei no chat antes e fiquei sem retorno, então envio este email o boleto não compensou e a cobrança continua pendente podem revisar o processamento e dizer se foi aprovado foi rápido e ajudou bastante obrigado pela atenção faz dias PROTO_[KFU];financeiro;email;2025-01-05 03:49:52;fechado;media;5758
o estorno não apareceu e eu queria reembolso Olá já liguei e não ficou claro, tô chamando no chat isso está bem frustrante preciso de nota fiscal e comprovante para concluir;financeiro;chat;2025-01-05 08:18:28;fechado;media;3164
já tentei no chat e também por telefone, mas não resolveu a tela em branco aparece e não carrega obrigado pela ajuda podem orientar como limpar cache e ajustar o navegador como funciona isso e qual o procedimento;suporte;email;2025-01-05 08:26:45;fechado;alta;7735
o rastreamento não atualiza e a previsão só muda quero reagendamento da tentativa de entrega valeu, podem fechar por favor foi rápido e ajudou bastante;logistica;chat;2025-01-05 08:41:30;fechado;baixa;6633
já tentei pelo chat e não resolveu, por isso liguei eu não reconheço a cobrança e preciso de contestação estou bem irritado porque já tentei outras vezes podem verificar a fatura e ajustar a cobrança desde ontem;financeiro;telefone;2025-01-05 09:27:04;fechado;alta;7709
PRECISO DE AJUDA faz dias obrigado pela ajuda podem verificar o desconto e o cupom do meu plano a migração de plano ficou confusa e não entendi os benefícios;assinatura;telefone;2025-01-05 09:43:15;fechado;alta;9847
Boa noite já liguei e não ficou claro, tô chamando no chat o navegador trava e parece problema de cookies e cache quero esclarecimento sobre política e cancelamento foi rápido e ajudou bastante quero um passo a passo pra resolver o erro valeu, podem fechar por favor;suporte;chat;2025-01-05 11:48:38;fechado;media;5938
PRECISO DE AJUDA já tentei pelo chat e não resolveu, por isso liguei obrigado pela ajuda valeu, podem fechar por favor a tela em branco aparece e não carrega;suporte;telefone;2025-01-05 14:37:12;fechado;alta;7838
o pacote veio avariado e a embalagem parecia violada quero apenas entender e resolver por favor, verifiquem se houve extravio ou atraso já fiz: • reiniciei o aparelho • limpei cache e cookies • tentei outro navegador;logistica;telefone;2025-01-05 15:09:55;fechado;baixa;3516
ABSURDO já chamei no chat e mandei email, mas sigo sem retorno o cartão não aprovou e eu preciso de orientação isso está bem frustrante eu só queria que fosse mais simples preciso de estorno ou reembolso o quanto antes agradeço, ficou resolvido aqui;financeiro;telefone;2025-01-05 15:28:37;fechado;alta;7068
estou decepcionado e quero uma revisão do caso aguardo há semanas e sigo sem retorno;feedback;telefone;2025-01-05 19:24:07;aberto;alta;9357
desde ontem Boa noite falei no chat antes e fiquei sem retorno, então envio este email o item faltando deixou o pedido incompleto já tentei limpei cache e cookies, atualizei o app, reiniciei o aparelho isso está revoltante, sempre fica pendente podem orientar devolução, troca e coleta do pacote obrigado pela atenção;logistica;email;2025-01-05 20:07:31;fechado;alta;9617
URGENTE podem verificar essa falha e orientar a correção depois da atualização o botão de salvar parou estou bem irritado porque já tentei outras vezes;suporte;email;2025-01-06 02:24:44;fechado;alta;7114
agora pouco teve tentativa de entrega mas não chegou no endereço já tentei contato e ficou sem retorno quero reagendamento da tentativa de entrega fico no aguardo de retorno PEDIDO_[RBW];logistica;email;2025-01-06 08:08:37;fechado;media;2084
já falei com o atendimento e ficou sem retorno teve tentativa de entrega mas não chegou no endereço já tentei saí e entrei na minha conta, limpei cache e cookies está cansativo e ninguém dá solução preciso de atualização do envio e da separação qual é o prazo e como faço o passo a passo PEDIDO_[FRN];logistica;telefone;2025-01-06 08:56:00;fechado;alta;6106
já liguei e não ficou claro, tô chamando no chat o app está instável e fica travando já tentei contato e ficou sem retorno;suporte;chat;2025-01-06 09:07:45;fechado;alta;6604
