texto;categoria;origem;data_criacao;status;prioridade;cliente_id
Eu assinei pelo celular e agora no computador não aparece. Eu achei que era a mesma conta, mas talvez eu fiz errado. Como eu junto isso pra não pagar duas vezes e usar em tudo?;assinatura;chat;2026-01-01 09:15:24;fechado;alta;3852
Eu achei a entrega ok, mas o acompanhamento é difícil de entender. Tem muita informação e eu não sei o que é importante. Se fosse mais simples ajudava bastante. Eu uso só pelo celular mesmo.;feedback;telefone;2026-01-01 09:24:20;fechado;baixa;7407
O entregador veio e eu não tava em casa, agora tá dizendo que vai voltar, mas não fala quando. Eu queria combinar um horário porque eu trabalho e fico fora. Eu uso só pelo celular mesmo. Obrigado.;logistica;chat;2026-01-01 09:25:28;fechado;media;1649
Oi, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Minha internet aqui é meio ruim.;suporte;chat;2026-01-01 09:53:50;aberto;baixa;4636
Eu queria dar um toque: o aplicativo podia ter letra maior. Eu tenho dificuldade pra ler no celular e aí eu erro. Se desse pra aumentar seria ótimo. Valeu.;feedback;chat;2026-01-01 10:19:50;aberto;baixa;7603
Olá, eu tentei pagar aqui e apareceu uma coisa dizendo que não deu certo. Eu não entendo muito dessas telas e fiquei com medo de ter cobrado duas vezes. Vocês conseguem ver pra mim se caiu o pagamento e como eu faço pra tentar de novo sem bagunçar? Minha internet aqui é meio ruim. Obrigado.;financeiro;email;2026-01-01 11:30:45;aberto;baixa;3879
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Se precisar eu mando print, só me diz como.;suporte;telefone;2026-01-01 11:53:30;aberto;alta;9366
Eu tô com dúvida de como atualizar meus dados, tipo telefone e endereço. Eu mexo pouco nessas coisas e tenho medo de fazer errado. Vocês podem me explicar onde fica isso?;informacoes;email;2026-01-01 12:01:51;aberto;media;1917
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Eu fico meio perdido nessas telas. Me ajuda por favor.;suporte;chat;2026-01-01 12:02:23;aberto;media;7637
Eu vi uma opção de 'relatório' mas não sei pra que serve. Eu cliquei e apareceu um monte de número. Tem como vocês me dizerem o que é isso em palavras simples? Não quero fazer besteira e piorar.;informacoes;email;2026-01-01 13:02:02;aberto;alta;4733
Olá, eu cancelei a assinatura, eu acho, mas ainda tá mostrando ativa. Eu tenho medo de continuar cobrando. Vocês podem confirmar se tá cancelado mesmo e me dizer até quando eu consigo usar? Se puder me ajudar eu agradeço.;assinatura;email;2026-01-01 13:16:05;aberto;media;1394
Bom dia, vocês têm algum horário certo pra suporte? Eu fico tentando falar e às vezes não aparece ninguém. Queria saber qual o melhor horário pra eu chamar e resolver mais rápido. Agradeço.;informacoes;email;2026-01-01 13:32:44;fechado;baixa;9165
Oi, meu pedido tá como enviado faz dias e não chegou. Eu não sei ver esses códigos de rastreio direito. Vocês podem me dizer onde tá e quando chega mais ou menos? Minha internet aqui é meio ruim. Obrigadinho.;logistica;email;2026-01-01 14:50:22;aberto;media;8453
Boa, eu queria saber se vocês atendem minha cidade e como é a entrega. Eu não achei essa informação fácil no site. Se puder me dizer certinho, eu agradeço. Fico no aguardo.;informacoes;chat;2026-01-01 16:28:31;aberto;media;8523
Eu tô tentando entrar e dá senha errada, mas eu tenho certeza que é a mesma. Eu cliquei em 'esqueci' e não chegou nada. Pode ver se meu e-mail tá certo ou mandar de novo? Obrigadinho.;suporte;email;2026-01-01 16:48:03;fechado;baixa;4141
Oi, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Obrigado.;suporte;telefone;2026-01-01 17:36:56;aberto;baixa;7773
Oi, eu tentei pagar aqui e apareceu uma coisa dizendo que não deu certo. Eu não entendo muito dessas telas e fiquei com medo de ter cobrado duas vezes. Vocês conseguem ver pra mim se caiu o pagamento e como eu faço pra tentar de novo sem bagunçar? Eu não manjo muito dessas coisas de app. Agradeço.;financeiro;chat;2026-01-01 18:25:27;aberto;media;9232
Eu tô tentando entrar e dá senha errada, mas eu tenho certeza que é a mesma. Eu cliquei em 'esqueci' e não chegou nada. Pode ver se meu e-mail tá certo ou mandar de novo? Eu fico meio perdido nessas telas.;suporte;chat;2026-01-01 19:33:36;fechado;media;2763
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Se precisar eu mando print, só me diz como. Valeu.;suporte;chat;2026-01-01 20:04:48;fechado;media;3582
Boa tarde, eu queria trocar o plano porque tá caro, mas eu me perco nessas opções. Eu clico e parece que não muda nada. Dá pra vocês fazerem a troca pra um mais barato e me avisar quando estiver certo? Se precisar eu mando print, só me diz como.;assinatura;chat;2026-01-01 20:06:09;aberto;alta;6669
Eu assinei pelo celular e agora no computador não aparece. Eu achei que era a mesma conta, mas talvez eu fiz errado. Como eu junto isso pra não pagar duas vezes e usar em tudo? Não quero fazer besteira e piorar.;assinatura;telefone;2026-01-01 20:30:49;aberto;media;4444
Eu tô tentando entrar e dá senha errada, mas eu tenho certeza que é a mesma. Eu cliquei em 'esqueci' e não chegou nada. Pode ver se meu e-mail tá certo ou mandar de novo? Eu fico meio perdido nessas telas. Obrigado.;suporte;chat;2026-01-01 20:37:56;fechado;baixa;3868
Eu vi uma opção de 'relatório' mas não sei pra que serve. Eu cliquei e apareceu um monte de número. Tem como vocês me dizerem o que é isso em palavras simples? Se precisar eu mando print, só me diz como. Se puder me ajudar eu agradeço.;informacoes;email;2026-01-01 20:38:54;fechado;media;4801
Boa noite, vocês têm algum horário certo pra suporte? Eu fico tentando falar e às vezes não aparece ninguém. Queria saber qual o melhor horário pra eu chamar e resolver mais rápido. Eu fico meio perdido nessas telas.;informacoes;email;2026-01-01 20:38:59;aberto;baixa;4838
Eu fiz o pix ontem e até agora não liberou. Eu não sei se eu coloquei o dado certo, mas o banco falou que foi. Dá pra confirmar se vocês receberam e quanto tempo demora? Tô precisando usar logo. Me ajuda por favor.;financeiro;telefone;2026-01-01 20:45:24;aberto;media;3980
Boa, eu queria saber se vocês atendem minha cidade e como é a entrega. Eu não achei essa informação fácil no site. Se puder me dizer certinho, eu agradeço. Eu não manjo muito dessas coisas de app. Pode me dar uma luz?;informacoes;chat;2026-01-01 21:12:53;aberto;alta;7902
Eu recebi um código no celular e quando eu coloco diz que expirou. Eu demoro um pouco pra ler e digitar. Tem como aumentar o tempo ou mandar por outro jeito? Eu uso só pelo celular mesmo.;suporte;email;2026-01-01 21:28:10;aberto;media;8260
Eu queria retirar em algum lugar porque aqui é difícil receber. Tem ponto de retirada? Se tiver, me explica como faz porque eu nunca usei isso. Se precisar eu mando print, só me diz como.;logistica;chat;2026-01-01 21:46:33;aberto;media;7246
Eu vi uma opção de 'relatório' mas não sei pra que serve. Eu cliquei e apareceu um monte de número. Tem como vocês me dizerem o que é isso em palavras simples? Se precisar eu mando print, só me diz como. Fico no aguardo.;informacoes;email;2026-01-01 22:31:11;aberto;alta;7268
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Eu sou meio devagar pra digitar.;suporte;email;2026-01-02 01:08:39;fechado;media;5585
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Não quero fazer besteira e piorar.;suporte;telefone;2026-01-02 02:23:01;aberto;alta;7181
Olá, eu queria trocar o plano porque tá caro, mas eu me perco nessas opções. Eu clico e parece que não muda nada. Dá pra vocês fazerem a troca pra um mais barato e me avisar quando estiver certo? Eu fico meio perdido nessas telas. Me ajuda por favor.;assinatura;chat;2026-01-02 03:06:21;aberto;media;1852
Oi, eu tentei pagar aqui e apareceu uma coisa dizendo que não deu certo. Eu não entendo muito dessas telas e fiquei com medo de ter cobrado duas vezes. Vocês conseguem ver pra mim se caiu o pagamento e como eu faço pra tentar de novo sem bagunçar?;financeiro;chat;2026-01-02 04:19:53;fechado;baixa;4607
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Me ajuda por favor.;suporte;email;2026-01-02 04:44:24;fechado;media;9800
Olá, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Eu uso só pelo celular mesmo. Valeu.;suporte;email;2026-01-02 05:23:05;fechado;alta;2818
Boa tarde, eu cancelei a assinatura, eu acho, mas ainda tá mostrando ativa. Eu tenho medo de continuar cobrando. Vocês podem confirmar se tá cancelado mesmo e me dizer até quando eu consigo usar? Se precisar eu mando print, só me diz como. Obrigado.;assinatura;email;2026-01-02 05:25:46;aberto;baixa;7780
Eu assinei pelo celular e agora no computador não aparece. Eu achei que era a mesma conta, mas talvez eu fiz errado. Como eu junto isso pra não pagar duas vezes e usar em tudo? Pode me dar uma luz?;assinatura;telefone;2026-01-02 05:42:10;aberto;media;9908
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Pode me dar uma luz?;suporte;email;2026-01-02 06:33:46;fechado;baixa;9541
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Eu não manjo muito dessas coisas de app. Agradeço.;suporte;chat;2026-01-02 07:09:19;aberto;baixa;9910
Oi, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Eu sou meio devagar pra digitar. Valeu.;suporte;chat;2026-01-02 07:16:46;fechado;media;2880
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Eu fico meio perdido nessas telas. Obrigado.;assinatura;email;2026-01-02 07:27:23;aberto;alta;5202
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Eu não manjo muito dessas coisas de app. Se puder me ajudar eu agradeço.;suporte;email;2026-01-02 08:12:40;fechado;baixa;6327
Eu queria dar um toque: o aplicativo podia ter letra maior. Eu tenho dificuldade pra ler no celular e aí eu erro. Se desse pra aumentar seria ótimo. Eu fico meio perdido nessas telas.;feedback;email;2026-01-02 08:40:00;aberto;alta;9865
Eu tô com dúvida de como atualizar meus dados, tipo telefone e endereço. Eu mexo pouco nessas coisas e tenho medo de fazer errado. Vocês podem me explicar onde fica isso? Minha internet aqui é meio ruim.;informacoes;telefone;2026-01-02 08:58:22;aberto;media;3194
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Se precisar eu mando print, só me diz como. Pode me dar uma luz?;assinatura;email;2026-01-02 09:23:57;fechado;baixa;7559
Tô com dificuldade pra anexar uma foto no chamado. Eu aperto e some, aí fica sem nada. Eu uso um celular mais antigo. O que eu faço pra conseguir mandar? Obrigado.;suporte;chat;2026-01-02 10:09:05;fechado;media;4748
Eu assinei pelo celular e agora no computador não aparece. Eu achei que era a mesma conta, mas talvez eu fiz errado. Como eu junto isso pra não pagar duas vezes e usar em tudo?;assinatura;chat;2026-01-02 11:47:56;aberto;media;1688
Tô com dificuldade pra anexar uma foto no chamado. Eu aperto e some, aí fica sem nada. Eu uso um celular mais antigo. O que eu faço pra conseguir mandar? Eu fico meio perdido nessas telas. Agradeço.;suporte;email;2026-01-02 12:37:21;fechado;baixa;8724
Boa tarde, eu cancelei a assinatura, eu acho, mas ainda tá mostrando ativa. Eu tenho medo de continuar cobrando. Vocês podem confirmar se tá cancelado mesmo e me dizer até quando eu consigo usar? Não quero fazer besteira e piorar. Agradeço.;assinatura;chat;2026-01-02 12:44:42;fechado;media;3202
O entregador veio e eu não tava em casa, agora tá dizendo que vai voltar, mas não fala quando. Eu queria combinar um horário porque eu trabalho e fico fora. Eu sou meio devagar pra digitar. Pode me dar uma luz?;logistica;chat;2026-01-02 13:17:36;fechado;media;5629
Eu tô com dúvida de como atualizar meus dados, tipo telefone e endereço. Eu mexo pouco nessas coisas e tenho medo de fazer errado. Vocês podem me explicar onde fica isso? Se precisar eu mando print, só me diz como. Agradeço.;informacoes;chat;2026-01-02 13:30:39;aberto;baixa;1710
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Eu não manjo muito dessas coisas de app.;assinatura;telefone;2026-01-02 15:07:02;aberto;alta;6639
Gente, eu paguei e mesmo assim tá aparecendo como pendente. Eu não sei mexer direito e não consigo achar onde manda o comprovante. Se eu mandar a foto aqui resolve? Só não quero perder o acesso.;financeiro;email;2026-01-02 16:46:49;fechado;media;9695
Boa tarde, eu queria saber como funciona esse negócio aí, porque eu li mas não entendi direito. Eu só queria um resumo bem simples, tipo o que eu ganho e o que eu preciso fazer pra começar. Minha internet aqui é meio ruim. Pode me dar uma luz?;informacoes;chat;2026-01-02 17:17:47;fechado;baixa;6007
Eu assinei pelo celular e agora no computador não aparece. Eu achei que era a mesma conta, mas talvez eu fiz errado. Como eu junto isso pra não pagar duas vezes e usar em tudo? Não quero fazer besteira e piorar. Se puder me ajudar eu agradeço.;assinatura;chat;2026-01-02 18:11:43;fechado;baixa;1088
Apareceu uma mensagem falando de renovação automática e eu não quero isso. Eu só quero pagar quando eu quiser. Onde que desliga? Eu procurei e não achei, é tudo meio confuso pra mim. Pode me dar uma luz?;assinatura;telefone;2026-01-02 21:39:51;aberto;baixa;6879
Eu fiz o pix ontem e até agora não liberou. Eu não sei se eu coloquei o dado certo, mas o banco falou que foi. Dá pra confirmar se vocês receberam e quanto tempo demora? Tô precisando usar logo.;financeiro;chat;2026-01-03 00:52:22;aberto;media;8820
Chegou uma caixa amassada e eu não sei se tá tudo certo. Eu nem abri direito ainda. O que eu faço, mando foto? Eu não quero ficar no prejuízo. Eu uso só pelo celular mesmo. Fico no aguardo.;logistica;telefone;2026-01-03 01:38:29;aberto;media;7453
Boa noite, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Eu fico meio perdido nessas telas.;suporte;telefone;2026-01-03 02:16:08;fechado;media;1369
Eu recebi um código no celular e quando eu coloco diz que expirou. Eu demoro um pouco pra ler e digitar. Tem como aumentar o tempo ou mandar por outro jeito? Pode me dar uma luz?;suporte;chat;2026-01-03 02:32:29;aberto;baixa;7146
Tentei colocar o cartão, mas ele fica dando erro e volta pra tela anterior. Já reiniciei o celular e nada. Eu queria só pagar e pronto. Tem alguma forma mais simples ou alguém pode me orientar passo a passo? Agradeço.;financeiro;chat;2026-01-03 02:43:12;aberto;alta;3229
Eu tô tentando entrar e dá senha errada, mas eu tenho certeza que é a mesma. Eu cliquei em 'esqueci' e não chegou nada. Pode ver se meu e-mail tá certo ou mandar de novo? Se precisar eu mando print, só me diz como. Obrigado.;suporte;telefone;2026-01-03 02:49:06;aberto;alta;6940
Eu queria retirar em algum lugar porque aqui é difícil receber. Tem ponto de retirada? Se tiver, me explica como faz porque eu nunca usei isso. Se puder me ajudar eu agradeço.;logistica;chat;2026-01-03 03:01:25;fechado;alta;4171
Eu fiz o pix ontem e até agora não liberou. Eu não sei se eu coloquei o dado certo, mas o banco falou que foi. Dá pra confirmar se vocês receberam e quanto tempo demora? Tô precisando usar logo. Agradeço.;financeiro;email;2026-01-03 03:26:22;aberto;media;3869
Gente, eu paguei e mesmo assim tá aparecendo como pendente. Eu não sei mexer direito e não consigo achar onde manda o comprovante. Se eu mandar a foto aqui resolve? Só não quero perder o acesso. Eu não manjo muito dessas coisas de app. Obrigado.;financeiro;email;2026-01-03 04:16:19;aberto;baixa;8307
A tela fica toda branca quando eu vou finalizar. Eu aperto e não acontece nada. Eu não sei explicar melhor, só sei que trava. Tem como vocês verem o que fazer? Eu sou meio devagar pra digitar. Obrigadinho.;suporte;email;2026-01-03 04:25:20;fechado;media;6492
Eu coloquei o endereço errado sem querer e só percebi depois. Dá pra mudar antes de entregar? Eu não entendo onde altera isso no site. Eu fico meio perdido nessas telas. Me ajuda por favor.;logistica;email;2026-01-03 05:39:32;aberto;media;2278
Tentei colocar o cartão, mas ele fica dando erro e volta pra tela anterior. Já reiniciei o celular e nada. Eu queria só pagar e pronto. Tem alguma forma mais simples ou alguém pode me orientar passo a passo? Eu fico meio perdido nessas telas.;financeiro;chat;2026-01-03 07:03:09;fechado;baixa;4708
Oi, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Fico no aguardo.;suporte;email;2026-01-03 07:05:06;aberto;baixa;5907
Tentei colocar o cartão, mas ele fica dando erro e volta pra tela anterior. Já reiniciei o celular e nada. Eu queria só pagar e pronto. Tem alguma forma mais simples ou alguém pode me orientar passo a passo? Minha internet aqui é meio ruim. Valeu.;financeiro;chat;2026-01-03 07:17:10;fechado;media;8877
Eu tô tentando entrar e dá senha errada, mas eu tenho certeza que é a mesma. Eu cliquei em 'esqueci' e não chegou nada. Pode ver se meu e-mail tá certo ou mandar de novo? Minha internet aqui é meio ruim. Obrigado.;suporte;email;2026-01-03 08:18:59;aberto;media;4985
Boa tarde, meu aplicativo não abre direito, fica carregando e volta. Eu não sei se é meu celular ou a internet, mas antes funcionava. Dá pra ajudar? Eu sou meio leigo nessas coisas. Eu sou meio devagar pra digitar.;suporte;telefone;2026-01-03 08:22:38;aberto;baixa;3107
Oi, eu queria saber como funciona esse negócio aí, porque eu li mas não entendi direito. Eu só queria um resumo bem simples, tipo o que eu ganho e o que eu preciso fazer pra começar. Eu sou meio devagar pra digitar. Valeu.;informacoes;email;2026-01-03 09:14:40;aberto;media;1857
Bom dia, estou vendo um valor na fatura que eu não reconheço. Eu só uso o básico e não cliquei em nada diferente. Pode me explicar de onde saiu essa cobrança e se tem como cancelar ou ajustar, porque tá pesado pra mim. Eu uso só pelo celular mesmo. Fico no aguardo.;financeiro;email;2026-01-03 09:33:59;fechado;media;2537
Eu fiz o pix ontem e até agora não liberou. Eu não sei se eu coloquei o dado certo, mas o banco falou que foi. Dá pra confirmar se vocês receberam e quanto tempo demora? Tô precisando usar logo. Minha internet aqui é meio ruim.;financeiro;email;2026-01-03 10:02:50;aberto;media;9231
Boa tarde, meu pedido tá como enviado faz dias e não chegou. Eu não sei ver esses códigos de rastreio direito. Vocês podem me dizer onde tá e quando chega mais ou menos? Eu não manjo muito dessas coisas de app. Agradeço.;logistica;telefone;2026-01-03 11:01:06;aberto;alta;9733
Olá, eu gosto do serviço, mas acho as telas meio confusas. Eu me perco pra achar as coisas e fico com medo de apertar errado. Seria bom ter um botão bem grande de ajuda. Obrigado.;feedback;telefone;2026-01-03 12:31:08;aberto;baixa;4423
Eu assinei pelo celular e agora no computador não aparece. Eu achei que era a mesma conta, mas talvez eu fiz errado. Como eu junto isso pra não pagar duas vezes e usar em tudo? Se precisar eu mando print, só me diz como. Valeu.;assinatura;telefone;2026-01-03 13:39:59;fechado;media;1561
Boa, eu queria saber se vocês atendem minha cidade e como é a entrega. Eu não achei essa informação fácil no site. Se puder me dizer certinho, eu agradeço. Se puder me ajudar eu agradeço.;informacoes;chat;2026-01-03 16:13:03;fechado;baixa;1813
Apareceu uma mensagem falando de renovação automática e eu não quero isso. Eu só quero pagar quando eu quiser. Onde que desliga? Eu procurei e não achei, é tudo meio confuso pra mim.;assinatura;email;2026-01-03 16:30:29;aberto;media;9099
Apareceu uma mensagem falando de renovação automática e eu não quero isso. Eu só quero pagar quando eu quiser. Onde que desliga? Eu procurei e não achei, é tudo meio confuso pra mim. Se precisar eu mando print, só me diz como. Obrigado.;assinatura;telefone;2026-01-03 18:19:11;fechado;baixa;7968
Apareceu uma mensagem falando de renovação automática e eu não quero isso. Eu só quero pagar quando eu quiser. Onde que desliga? Eu procurei e não achei, é tudo meio confuso pra mim.;assinatura;email;2026-01-03 18:34:39;aberto;media;9858
Tô com dificuldade pra anexar uma foto no chamado. Eu aperto e some, aí fica sem nada. Eu uso um celular mais antigo. O que eu faço pra conseguir mandar? Eu fico meio perdido nessas telas. Obrigado.;suporte;chat;2026-01-03 18:48:00;aberto;baixa;8988
Apareceu uma mensagem falando de renovação automática e eu não quero isso. Eu só quero pagar quando eu quiser. Onde que desliga? Eu procurei e não achei, é tudo meio confuso pra mim. Eu não manjo muito dessas coisas de app. Agradeço.;assinatura;chat;2026-01-03 18:53:00;aberto;media;2398
Boa tarde, eu tentei pagar aqui e apareceu uma coisa dizendo que não deu certo. Eu não entendo muito dessas telas e fiquei com medo de ter cobrado duas vezes. Vocês conseguem ver pra mim se caiu o pagamento e como eu faço pra tentar de novo sem bagunçar?;financeiro;chat;2026-01-03 20:09:03;aberto;alta;3900
Oi, eu queria trocar o plano porque tá caro, mas eu me perco nessas opções. Eu clico e parece que não muda nada. Dá pra vocês fazerem a troca pra um mais barato e me avisar quando estiver certo? Eu fico meio perdido nessas telas. Valeu.;assinatura;chat;2026-01-03 20:18:21;fechado;baixa;1886
Eu fiz o pix ontem e até agora não liberou. Eu não sei se eu coloquei o dado certo, mas o banco falou que foi. Dá pra confirmar se vocês receberam e quanto tempo demora? Tô precisando usar logo. Eu uso só pelo celular mesmo. Obrigadinho.;financeiro;telefone;2026-01-03 21:55:17;aberto;baixa;9112
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Se puder me ajudar eu agradeço.;assinatura;telefone;2026-01-03 22:38:13;fechado;baixa;8647
Boa tarde, vocês têm algum horário certo pra suporte? Eu fico tentando falar e às vezes não aparece ninguém. Queria saber qual o melhor horário pra eu chamar e resolver mais rápido. Minha internet aqui é meio ruim. Agradeço.;informacoes;email;2026-01-03 23:19:44;aberto;media;7792
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Minha internet aqui é meio ruim. Agradeço.;assinatura;telefone;2026-01-03 23:30:11;aberto;alta;4566
Apareceu uma mensagem falando de renovação automática e eu não quero isso. Eu só quero pagar quando eu quiser. Onde que desliga? Eu procurei e não achei, é tudo meio confuso pra mim. Se precisar eu mando print, só me diz como. Valeu.;assinatura;chat;2026-01-03 23:36:30;aberto;baixa;6665
Tentei colocar o cartão, mas ele fica dando erro e volta pra tela anterior. Já reiniciei o celular e nada. Eu queria só pagar e pronto. Tem alguma forma mais simples ou alguém pode me orientar passo a passo? Pode me dar uma luz?;financeiro;email;2026-01-03 23:40:42;aberto;alta;8265
Boa tarde, estou vendo um valor na fatura que eu não reconheço. Eu só uso o básico e não cliquei em nada diferente. Pode me explicar de onde saiu essa cobrança e se tem como cancelar ou ajustar, porque tá pesado pra mim. Pode me dar uma luz?;financeiro;email;2026-01-04 00:47:19;fechado;alta;2250
Eu queria voltar a assinar porque parei mês passado, só que eu não lembro a senha e fico travado na tela. Eu não sou bom com internet. Tem um jeito de fazer isso mais fácil, tipo mandar um link? Eu sou meio devagar pra digitar. Se puder me ajudar eu agradeço.;assinatura;chat;2026-01-04 00:59:58;fechado;alta;8807
Eu recebi um código no celular e quando eu coloco diz que expirou. Eu demoro um pouco pra ler e digitar. Tem como aumentar o tempo ou mandar por outro jeito? Se precisar eu mando print, só me diz como. Obrigadinho.;suporte;email;2026-01-04 02:05:46;aberto;media;4981
Queria sugerir que avisasse melhor quando vai cobrar. Eu tomo susto quando aparece a cobrança. Se mandasse uma mensagem antes eu me organizava melhor. Se precisar eu mando print, só me diz como.;feedback;chat;2026-01-04 02:36:11;aberto;baixa;8613
Eu tô com dúvida de como atualizar meus dados, tipo telefone e endereço. Eu mexo pouco nessas coisas e tenho medo de fazer errado. Vocês podem me explicar onde fica isso? Eu fico meio perdido nessas telas.;informacoes;email;2026-01-04 02:42:33;aberto;media;6193
Eu tô com dúvida de como atualizar meus dados, tipo telefone e endereço. Eu mexo pouco nessas coisas e tenho medo de fazer errado. Vocês podem me explicar onde fica isso? Minha internet aqui é meio ruim. Valeu.;informacoes;telefone;2026-01-04 02:50:08;aberto;media;2445
Oi, eu tentei pagar aqui e apareceu uma coisa dizendo que não deu certo. Eu não entendo muito dessas telas e fiquei com medo de ter cobrado duas vezes. Vocês conseguem ver pra mim se caiu o pagamento e como eu faço pra tentar de novo sem bagunçar? Não quero fazer besteira e piorar. Me ajuda por favor.;financeiro;chat;2026-01-04 03:28:32;fechado;alta;6227
Tô com dificuldade pra anexar uma foto no chamado. Eu aperto e some, aí fica sem nada. Eu uso um celular mais antigo. O que eu faço pra conseguir mandar?;suporte;email;2026-01-04 03:53:56;fechado;alta;3058
